global_idx,confidence,rrs,threshold
6523,0.9999863795764272,0.5862561104732308,0.6331567679041693
6538,0.9999156610749973,0.6002888274492685,0.6331567679041693
6544,0.9999983637880347,0.5689157256751005,0.6331567679041693
6562,0.999986183561635,0.5862560222665744,0.6331567679041693
6593,0.9999861814317239,0.5955682214513826,0.6331567679041693
6606,0.9997023598329553,0.6297306104997104,0.6331567679041693
6611,0.9999890613474849,0.6218153547510096,0.6331567679041693
6614,0.9997409409510908,0.6382098188774735,0.6331567679041693
6617,0.999885879333835,0.6002754256657454,0.6331567679041693
6626,0.9998962702279759,0.6002801015681088,0.6331567679041693
6651,0.9997585489439887,0.6382177424742775,0.6331567679041693
6675,0.9999983243189131,0.5773941425936162,0.6331567679041693
6679,0.9999108414528843,0.6002866586193176,0.6331567679041693
6713,0.9996101735674783,0.6201279816668716,0.6331567679041693
6728,0.999915413859489,0.6002887162022897,0.6331567679041693
6750,0.9999861949686303,0.5862560273997223,0.6331567679041693
6790,0.9999132001817559,0.6002877200473098,0.6331567679041693
6795,0.0001036886586211504,-0.0003256993755742848,0.6331567679041693
6816,0.9999154114815433,0.6002887151322142,0.6331567679041693
6823,0.9996966677059503,0.6381898959171602,0.6331567679041693
6827,0.9147038133492646,0.5620410118738035,0.6331567679041693
6829,0.9997292695697689,0.6382045667558787,0.6331567679041693
6837,0.9999855846792579,0.5955679529127728,0.6331567679041693
6891,0.9940576828663094,0.6673649011945255,0.6331567679041693
6898,0.999985586097504,0.5867295827897467,0.6331567679041693
6910,0.9995696607114312,0.6381327427696267,0.6331567679041693
6920,0.9999147757568551,0.6002884290561045,0.6331567679041693
6957,0.9994386686662742,0.638073796349306,0.6331567679041693
6967,0.9997018364755427,0.5859229891268297,0.6331567679041693
7012,0.9999861826536426,0.5862560218579778,0.6346757031277684
7014,0.9999145106712594,0.6002883097675864,0.6346757031277684
7037,0.9997552953197434,0.6382162783433672,0.6346757031277684
7064,2.4143318931713706e-05,-8.827449394025804e-05,0.6346757031277684
7084,0.9999979979001535,0.5773939957051744,0.6346757031277684
7097,0.9997393935031759,0.6382091225259118,0.6346757031277684
7112,0.9999983248156893,0.5773941428171654,0.6346757031277684
7157,0.9996297446334168,0.6206713930163972,0.6346757031277684
7166,0.9967821540525595,0.6685909132283381,0.6346757031277684
7173,0.6452117871791204,0.08189328138593234,0.6346757031277684
7184,0.04563637973164087,-0.044788409825675626,0.6346757031277684
7199,0.04706925091875341,-0.045668023790701985,0.6346757031277684
7211,0.9999398677875556,0.6160886293820508,0.6346757031277684
7214,0.9999983202418483,0.577394140758937,0.6346757031277684
7220,0.999915402354104,0.6002887110248665,0.6346757031277684
7237,0.999998324956334,0.5773941428804555,0.6346757031277684
7259,0.9996909123813592,0.6206989185029713,0.6346757031277684
7305,0.999915618000984,0.6002888080659625,0.6346757031277684
7319,0.9999398674356977,0.6160886292237148,0.6346757031277684
7372,0.9990447532529123,0.6204081468951702,0.6346757031277684
7423,0.9994956988220876,0.6206110724012991,0.6346757031277684
7432,0.9974958289669875,0.6689120669398306,0.6346757031277684
7437,0.9999983228802231,0.5773941419462056,0.6346757031277684
7459,4.989582606530516e-05,-0.00016962975189420326,0.6346757031277684
7466,0.9999983223981621,0.5773941417292782,0.6346757031277684
7478,4.927427485907697e-05,-0.00016773500281354786,0.6346757031277684
7512,0.9999983225108388,0.5773941417799827,0.6346757031277684
7603,0.9999980401390512,0.5773940147126784,0.6346757031277684
7652,0.999939714774703,0.6022050244686584,0.6346757031277684
7663,0.9676238200808395,0.5714878817492133,0.6346757031277684
7718,0.9996896491017568,0.6297248906706711,0.6346757031277684
7738,0.9959976381929339,0.6159559410065045,0.6346757031277684
7749,0.6452117871791204,0.08189328138593234,0.6346757031277684
7807,0.9999861841576432,0.586256022534778,0.6346757031277684
