test_idx,nn_distance,shap_cosine_sim,lime_cosine_sim,shap_top6_overlap,shap_sign_agreement,shap_rank_corr
26870,0.0319,0.9985,0.8636,0.8333,0.8889,0.8466
2114,0.0243,0.9983,0.909,0.8333,0.8333,0.9278
10353,0.3662,0.9979,0.9715,0.6667,0.8421,0.9519
19107,0.0278,0.9972,0.903,1.0,1.0,0.9609
25500,0.0001,0.9966,0.9404,1.0,0.9444,0.9699
14717,0.0,0.998,0.9499,0.8333,0.9444,0.9519
16457,0.0003,0.998,0.9446,0.8333,1.0,0.9865
27959,0.0021,0.998,0.9251,1.0,0.8947,0.9068
2179,0.8797,0.9782,0.9347,0.8333,0.8421,0.9098
4166,0.0304,0.9966,0.9121,1.0,0.8333,0.9534
7982,0.0001,0.9974,0.9487,0.8333,0.9444,0.9714
24916,0.6576,0.9987,0.9525,1.0,0.8947,0.8722
20427,0.0921,0.9984,0.9163,0.8333,0.8889,0.9173
15471,0.0,0.9989,0.9377,0.8333,1.0,0.9609
18330,0.0372,0.9993,0.9685,1.0,1.0,0.8286
