global_idx,k,p0,drop_shap,drop_random
28692,4,0.9999988620363958,0.9995433679766283,0.680527605262228
28692,5,0.9999988620363958,0.9995433851904957,0.6798267779951922
28692,6,0.9999988620363958,0.9994125579366785,0.6805177628202048
2250,1,0.9999989221472874,0.7478102545810829,2.454297876042233e-10
2250,2,0.9999989221472874,0.9999473198734008,1.9553469954303182e-10
2250,3,0.9999989221472874,0.9999774279799669,1.2027460472019413e-08
2250,4,0.9999989221472874,0.9995341025134238,1.3070795112923861e-08
2250,5,0.9999989221472874,0.9995341301747562,1.3733142734118076e-08
2250,6,0.9999989221472874,0.9995341301747562,1.3489269035105167e-08
29619,1,0.9999998673934254,0.999535800406821,0.0
29619,2,0.9999998673934254,0.9998170409492471,9.357614683125348e-11
29619,3,0.9999998673934254,0.9998170556692733,9.357614683125348e-11
29619,4,0.9999998673934254,0.9984035587459928,-1.956695250271423e-09
29619,5,0.9999998673934254,0.9984035587459928,7.037805593856916e-08
29619,6,0.9999998673934254,0.9977071709310871,7.187965811450425e-08
30550,1,0.9999981201254305,0.779580188089144,-4.5144776805727815e-11
30550,2,0.9999981201254305,0.9999154650039414,-7.635637311320664e-08
30550,3,0.9999981201254305,0.9999611664426411,-8.001963469617124e-08
30550,4,0.9999981201254305,0.9981749188862585,1.39365807394487e-06
30550,5,0.9999981201254305,0.9981750491549649,1.3939118723715893e-06
30550,6,0.9999981201254305,0.9995464608796639,1.5449608822271088e-06
18352,1,0.9999998677168997,0.999535197988623,1.1417755629850035e-11
18352,2,0.9999998677168997,0.9998168188232427,6.500356919403316e-10
18352,3,0.9999998677168997,0.9998168335611759,6.303929600548486e-10
18352,4,0.9999998677168997,0.9984007224220198,1.58950375084288e-09
18352,5,0.9999998677168997,0.9984007224220198,1.58950375084288e-09
18352,6,0.9999998677168997,0.9983969030138842,1.542912919649808e-08
28530,1,0.9998609870846158,0.6261536337655685,-2.821347596659862e-07
28530,2,0.9998609870846158,0.9549596682971181,-4.075974529338389e-06
28530,3,0.9998609870846158,0.9550442124592757,0.6054909349826127
28530,4,0.9998609870846158,0.9653937273117276,0.6054927479939991
28530,5,0.9998609870846158,0.9653969941976334,0.6054927479939991
28530,6,0.9998609870846158,0.9653969941976334,0.6622435761187426
1220,1,0.8615910551495003,0.8615228243812526,0.0
1220,2,0.8615910551495003,0.8615228243812526,0.0
1220,3,0.8615910551495003,0.8615519437377237,-1.1230738312772992e-05
1220,4,0.8615910551495003,0.8602504131783105,0.02679856696518579
1220,5,0.8615910551495003,0.8590306661336452,0.8615343645430931
1220,6,0.8615910551495003,0.8606651043855736,0.861534366353891
25772,1,0.9999988567253387,0.7406039316709805,-3.6683089899014476e-10
25772,2,0.9999988567253387,0.9999484100170257,1.0811256112575052e-08
25772,3,0.9999988567253387,0.9999777177804596,1.008853722783698e-08
25772,4,0.9999988567253387,0.9995468189153176,-4.094053407399656e-08
25772,5,0.9999988567253387,0.9995468359986267,-4.0865477002327566e-08
25772,6,0.9999988567253387,0.999539352345967,-2.961891598651789e-08
35099,1,0.9997749205487921,0.9997749062769968,-2.6301851689947142e-06
35099,2,0.9997749205487921,0.6833736933158497,0.9997098570617989
35099,3,0.9997749205487921,0.9974663960408559,0.9997086396687576
35099,4,0.9997749205487921,0.9972081494054598,0.9997077016141543
35099,5,0.9997749205487921,0.9985952608781579,0.9997077016141543
35099,6,0.9997749205487921,0.9986654175514292,0.9997077016141543
25195,1,0.7156597045289093,0.7131337432973783,0.7131337432973783
25195,2,0.7156597045289093,0.7154797170210997,0.7154797170210997
25195,3,0.7156597045289093,0.7156597042493787,0.7154797170210997
25195,4,0.7156597045289093,0.715659411989205,0.7154800067150107
25195,5,0.7156597045289093,0.7104849972015849,0.7156595663304723
25195,6,0.7156597045289093,0.7129992543313204,0.7156595663304723
38363,1,0.9999932853488644,0.2010138670220154,8.311411558992177e-09
38363,2,0.9999932853488644,0.5952718193763606,-5.443579566888346e-06
38363,3,0.9999932853488644,0.6800071216177209,0.02565403613889239
38363,4,0.9999932853488644,0.9999717747747762,0.025685964190189092
38363,5,0.9999932853488644,0.9999717602662321,0.025678224653614357
38363,6,0.9999932853488644,0.9995265274061267,0.20706798737083276
10909,1,0.79346759993416,-0.10046792209257238,-0.10046792209257238
10909,2,0.79346759993416,0.7910355389123489,-0.10192577256331681
10909,3,0.79346759993416,0.7919063076856022,-0.1019248904990997
10909,4,0.79346759993416,0.6275783597060806,0.23296437979815343
10909,5,0.79346759993416,0.7871221597690478,0.22496057595956487
10909,6,0.79346759993416,0.7871236255232338,0.25522412778647374
2837,1,0.9999998677607089,0.9995346192538961,0.0
2837,2,0.9999998677607089,0.9998166052785489,-9.951862667278988e-10
2837,3,0.9999998677607089,0.9998166200336757,-9.837554104663582e-10
2837,4,0.9999998677607089,0.9983979973265167,-3.0533209294247854e-09
2837,5,0.9999998677607089,0.9983979973265167,-1.0543414408203944e-07
2837,6,0.9999998677607089,0.9985223777552602,-8.865551304193531e-08
15954,1,0.9999891951089098,0.21106351607452445,1.327880694290684e-09
15954,2,0.9999891951089098,0.2730976905485696,1.327880694290684e-09
15954,3,0.9999891951089098,0.6668261918193269,3.9516623306923293e-10
15954,4,0.9999891951089098,0.6672832697432862,-8.828995312626375e-10
15954,5,0.9999891951089098,0.9999639194832692,0.2110339890251407
15954,6,0.9999891951089098,0.9994815485041693,0.2113461385636599
164,1,0.9999933411408819,0.20027640094341959,8.046667776540062e-10
164,2,0.9999933411408819,0.7354570947272467,8.934930573190059e-09
164,3,0.9999933411408819,0.9999414657279795,-4.9621255437948264e-08
164,4,0.9999933411408819,0.9999719231360179,-5.568306223668884e-06
164,5,0.9999933411408819,0.9995301123432826,-4.726869570648162e-06
164,6,0.9999933411408819,0.9995288316895217,-4.727236226798048e-06
37459,1,0.9999952526106864,0.9853488412019795,4.503312056591824e-09
37459,2,0.9999952526106864,0.9999922904208702,7.828517833985416e-09
37459,3,0.9999952526106864,0.9999656707083217,-3.873657806408026e-06
37459,4,0.9999952526106864,0.9999728971209926,-4.624503468497743e-06
37459,5,0.9999952526106864,0.9999738365326526,-2.4600054131518334e-06
37459,6,0.9999952526106864,0.9999738220878409,-2.449106681456925e-06
38947,1,0.9999999999711648,0.1704105575845407,-5.74429392941056e-13
38947,2,0.9999999999711648,0.9999977411078652,-5.750955267558311e-13
38947,3,0.9999999999711648,0.966154780945574,-5.755396159656812e-13
38947,4,0.9999999999711648,0.9801157490333741,-5.74651437545981e-13
38947,5,0.9999999999711648,0.9711127074158327,-5.74651437545981e-13
38947,6,0.9999999999711648,0.9711127074158327,1.7514399819340554e-08
10403,1,0.9999988618332032,0.7389878199703688,-2.793871800577108e-10
10403,2,0.9999988618332032,0.8700755410804091,-2.793871800577108e-10
10403,3,0.9999988618332032,0.9999776138760837,1.1329115423563962e-08
10403,4,0.9999988618332032,0.9995433982580166,1.1329115423563962e-08
10403,5,0.9999988618332032,0.9995434154707324,0.7433724271562288
10403,6,0.9999988618332032,0.9995357062982525,0.7336623485695903
31385,1,0.9999934314995798,0.030266623523810265,-8.839464562537813e-07
31385,2,0.9999934314995798,0.9997673399834635,-1.704922694245603e-06
31385,3,0.9999934314995798,0.9983725871051781,9.98614696959832e-05
31385,4,0.9999934314995798,0.9983743925163445,9.989752866534918e-05
31385,5,0.9999934314995798,0.9992980846801063,3.6593365365655828e-06
31385,6,0.9999934314995798,0.9999917169885101,1.3595458393300675e-05
14340,1,0.9999988728505426,0.7513615281450391,0.0
14340,2,0.9999988728505426,0.8752284218862126,9.290864000366383e-08
14340,3,0.9999988728505426,0.9999775259521656,1.0649702024689844e-06
14340,4,0.9999988728505426,0.9995413656483323,-4.693804103172994e-07
14340,5,0.9999988728505426,0.9995413864835261,-4.90356369842182e-07
14340,6,0.9999988728505426,0.999540067253937,-4.950493603939066e-07
22102,1,0.9999949773482295,0.9864605943414816,5.54280177311739e-10
22102,2,0.9999949773482295,0.7531823795729627,-5.999480667817636e-08
22102,3,0.9999949773482295,0.9999661317097057,-2.6062473623689186e-07
22102,4,0.9999949773482295,0.9999732752866354,0.0034684108369023026
22102,5,0.9999949773482295,0.999973473989656,0.0034748734643186285
22102,6,0.9999949773482295,0.9995297273616369,0.0029565783186450423
28614,1,0.9999932947836971,0.20143653366525205,4.3073812990845894e-06
28614,2,0.9999932947836971,0.7372772258835729,4.3025710546595874e-06
28614,3,0.9999932947836971,0.9999417939285445,4.31637063125212e-06
28614,4,0.9999932947836971,0.9999719994622657,4.314986409736932e-06
28614,5,0.9999932947836971,0.9999719850989006,-4.53881200179751e-06
28614,6,0.9999932947836971,0.9995328730069541,-4.522887136260145e-06
7807,1,0.9999989092617236,0.7357612497788112,1.0667848715506523e-08
7807,2,0.9999989092617236,0.9999470953646487,8.290213711070749e-07
7807,3,0.9999989092617236,0.9999775113932508,-4.6676538445478144e-07
7807,4,0.9999989092617236,0.9995363504011692,0.9999760094070798
7807,5,0.9999989092617236,0.9995363779280256,0.9999767126024867
7807,6,0.9999989092617236,0.9995363779280256,0.9999767063999009
24153,1,0.9999398428595005,0.18795760162126318,-5.851214141272543e-05
24153,2,0.9999398428595005,0.6878695259430646,-5.851232355813529e-05
24153,3,0.9999398428595005,0.7637944896473348,-5.851256381672609e-05
24153,4,0.9999398428595005,0.7641368622029475,-5.8501380068243236e-05
24153,5,0.9999398428595005,0.9999080422113134,-5.8502069819943436e-05
24153,6,0.9999398428595005,0.9984548844152729,-5.711529830088047e-05
27831,1,0.9999801480322587,0.1980618041273442,3.4246730495901545e-07
27831,2,0.9999801480322587,0.9999316226581306,3.1148450696516505e-07
27831,3,0.9999801480322587,0.9999598290181757,-1.9562897547231728e-05
27831,4,0.9999801480322587,0.9999598168120707,-1.9426745528017264e-05
27831,5,0.9999801480322587,0.9996323270505514,-1.9418171301355258e-05
27831,6,0.9999801480322587,0.9996323387347692,0.9999098931898825
5776,1,0.9999932978706078,0.20098950591514464,0.20098950591514464
5776,2,0.9999932978706078,0.5952746204185626,0.025574664529221747
5776,3,0.9999932978706078,0.999941478775357,0.02562449236612485
5776,4,0.9999932978706078,0.9999718215086228,0.02562449236612485
5776,5,0.9999932978706078,0.9999718070231528,0.02562449236612485
5776,6,0.9999932978706078,0.9995274048482212,0.029958418354272598
3302,1,0.9999998674541344,0.9995350943581658,0.0
3302,2,0.9999998674541344,0.9998167804131394,7.413477820517045e-08
3302,3,0.9999998674541344,0.9998167951541433,0.9996377511103216
3302,4,0.9999998674541344,0.9984002355506205,0.9996376995196109
3302,5,0.9999998674541344,0.9984002355506205,0.9996303937682876
3302,6,0.9999998674541344,0.9977020156045321,0.9996304271723394
19623,1,0.9999998677262436,0.9995348434170919,-1.0102807479484e-11
19623,2,0.9999998677262436,0.9998166879784833,-1.0102807479484e-11
19623,3,0.9999998677262436,0.9998167027269501,1.012867586469568e-07
19623,4,0.9999998677262436,0.9983990530588241,-8.428145703565093e-08
19623,5,0.9999998677262436,0.9983990530588241,0.9983987756493268
19623,6,0.9999998677262436,0.9977001808432334,0.9983949515989597
37937,1,0.7868907361102895,0.7862103872854703,-0.0030831137859513857
37937,2,0.7868907361102895,0.7738150127626378,0.1891891362414122
37937,3,0.7868907361102895,-0.046645354537351635,0.18174127177789678
37937,4,0.7868907361102895,0.7802122532126001,0.18172412173923025
37937,5,0.7868907361102895,0.7802074364113337,0.5778165297962258
37937,6,0.7868907361102895,0.7789496784233063,0.2864198417378351
1424,1,0.9999998674583093,0.9995350880325858,-9.914025156376738e-10
1424,2,0.9999998674583093,0.9998167780813668,6.424638598900856e-12
1424,3,0.9999998674583093,0.9998167928225588,-1.273625649389487e-11
1424,4,0.9999998674583093,0.9998167928225588,-1.1934897514720433e-12
1424,5,0.9999998674583093,0.9984002057558673,5.403986147456408e-10
1424,6,0.9999998674583093,0.9983963851163216,6.689975240448121e-10
22452,1,0.9999988620354501,0.7389746943809565,0.0
22452,2,0.9999988620354501,0.9999480842638719,0.0
22452,3,0.9999988620354501,0.9999776131924537,-5.0347778501880214e-08
22452,4,0.9999988620354501,0.9995433705874265,-5.027372362853555e-08
22452,5,0.9999988620354501,0.9995433878011952,-7.698477776374446e-07
22452,6,0.9999988620354501,0.9995356767883841,-7.719668785322042e-07
5228,1,0.9999662084235994,0.19163240627953704,5.3904003594063e-08
5228,2,0.9999662084235994,0.7275448809952467,-1.76103483309209e-05
5228,3,0.9999662084235994,0.727951200859904,-1.76103483309209e-05
5228,4,0.9999662084235994,0.9999234433239784,-1.7612026640079215e-05
5228,5,0.9999662084235994,0.9999474818954677,-1.761233265362705e-05
5228,6,0.9999662084235994,0.9999473980227033,-1.761233265362705e-05
2814,1,0.9999952523150191,0.9853481241646933,1.8925184497642356e-05
2814,2,0.9999952523150191,0.7301033501979761,2.3248613076565228e-05
2814,3,0.9999952523150191,0.9999656699320287,1.5255956077098176e-05
2814,4,0.9999952523150191,0.9999433808348788,1.5256003329855439e-05
2814,5,0.9999952523150191,0.9983568074038527,1.5256565400467714e-05
2814,6,0.9999952523150191,0.9995320663523107,1.525712769478993e-05
32684,1,0.9999989089056017,0.7357572019591184,1.260388127199974e-09
32684,2,0.9999989089056017,0.9999470941748458,8.639648696462388e-08
32684,3,0.9999989089056017,0.9999775107642014,8.53175383674909e-08
32684,4,0.9999989089056017,0.9995363409670248,7.843355531722551e-08
32684,5,0.9999989089056017,0.9995363684944213,9.129292732890093e-08
32684,6,0.9999989089056017,0.9995363684944213,9.129292732890093e-08
17072,1,0.9999952451140717,0.9854076828298142,-3.909761403519951e-12
17072,2,0.9999952451140717,0.7302238627122002,1.4380131529989626e-09
17072,3,0.9999952451140717,0.999965702726708,0.9854229531804953
17072,4,0.9999952451140717,0.9999729198471946,0.9845303826898562
17072,5,0.9999952451140717,0.999970331975,0.9845273734050307
17072,6,0.9999952451140717,0.9985574874361438,0.9845273734050307
32886,1,0.9999998708321085,0.9995346058863978,1.6122658763606523e-12
32886,2,0.9999998708321085,0.9998166022836933,1.6122658763606523e-12
32886,3,0.9999998708321085,0.9998166170393084,1.2761125489646474e-11
32886,4,0.9999998708321085,0.9983979229783498,1.2761125489646474e-11
32886,5,0.9999998708321085,0.9983979229783498,0.9995342136232293
32886,6,0.9999998708321085,0.9985223153809643,0.9995342136232293
33475,1,0.9999415973758657,0.20468046739764567,-3.299704953718674e-09
33475,2,0.9999415973758657,0.7091311600705439,-1.0243879562388258e-06
33475,3,0.9999415973758657,0.780586576505947,-1.0292519362353758e-06
33475,4,0.9999415973758657,0.7809149094713727,-6.189356477337427e-07
33475,5,0.9999415973758657,0.9999176965244014,-5.711394412977189e-05
33475,6,0.9999415973758657,0.9989312771498052,-5.6157640870746484e-05
23187,1,0.9999705583581747,0.17798305574021134,-2.835432853420805e-05
23187,2,0.9999705583581747,0.7141806789570742,-2.8358950184714793e-05
23187,3,0.9999705583581747,0.7145983790506277,-2.7506373630248326e-05
23187,4,0.9999705583581747,0.9999186413048912,-2.7506239422381284e-05
23187,5,0.9999705583581747,0.9999491256311775,-2.7505543095607266e-05
23187,6,0.9999705583581747,0.99994912719381,-2.7503154667263274e-05
38456,1,0.9999998674618555,0.999535037296866,1.3053169656274122e-10
38456,2,0.9999998674618555,0.9998167593600479,1.0881618939251325e-09
38456,3,0.9999998674618555,0.9998167741027473,1.0998001398476731e-09
38456,4,0.9999998674618555,0.9983999668860646,1.0998001398476731e-09
38456,5,0.9999998674618555,0.9983999668860646,1.4869294684416445e-10
38456,6,0.9999998674618555,0.9985240427410388,1.8893477560233407e-08
13605,1,0.9999756156440164,0.22865246981707477,-3.257810013979068e-07
13605,2,0.9999756156440164,0.9999455418646714,-2.3872559170134977e-05
13605,3,0.9999756156440164,0.9999603871836839,-2.388772354533497e-05
13605,4,0.9999756156440164,0.9999603882451722,-2.388772354533497e-05
13605,5,0.9999756156440164,0.9999603790525703,-2.388769838612692e-05
13605,6,0.9999756156440164,0.9999603790525703,-2.388769838612692e-05
20164,1,0.9999998675280664,0.999534892609075,1.1433964886009562e-11
20164,2,0.9999998675280664,0.9998167060068157,1.1433964886009562e-11
20164,3,0.9999998675280664,0.9998167207538153,1.3087309014281345e-11
20164,4,0.9999998675280664,0.9998167207538153,1.8744331198305986e-08
20164,5,0.9999998675280664,0.9983992854182715,1.8744331198305986e-08
20164,6,0.9999998675280664,0.9977005414618124,2.155626166455704e-08
21394,1,0.9999949742215383,0.9864687935363924,3.3583122949210065e-09
